room_count,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
6,distributed_singles,distributed_mwf,2,1.0,7.91545,7.91545,7.89795,7.89795,0.77588,0.77588,1.41466,1.41466,11.7086,11.7086,9.6291,9.6291,0.16568,0.16568,0.94157,0.94157,1.1669,1.1669,2.58156,2.58156,0.00733,0.00733,1.02635,1.02635,-3.5212,-3.5212,0.72652,0.72652,1.06383,1.06383
6,distributed_singles,distributed_weighted_ds,2,1.0,7.91545,7.91545,7.89795,7.89795,0.77588,0.77588,1.41466,1.41466,0.93655,0.93655,0.26935,0.26935,0.00856,0.00856,0.78445,0.78445,0.07494,0.07494,1.4896,1.4896,0.00416,0.00416,1.02635,1.02635,-6.27295,-6.27295,0.61808,0.61808,1.03495,1.03495
6,distributed_singles,distributed_wpd,2,1.0,7.91545,7.91545,7.89795,7.89795,0.77588,0.77588,1.41466,1.41466,-2.2481,-2.2481,-14.61855,-14.61855,-0.37676,-0.37676,0.39913,0.39913,-0.34453,-0.34453,1.07014,1.07014,0.02567,0.02567,1.02635,1.02635,-13.66165,-13.66165,0.52365,0.52365,1.02957,1.02957
6,distributed_singles,distributed_wpe_mvdr,2,1.0,7.91545,7.91545,7.89795,7.89795,0.77588,0.77588,1.41466,1.41466,8.6415,8.6415,-7.34295,-7.34295,-0.04018,-0.04018,0.73571,0.73571,0.08038,0.08038,1.49504,1.49504,0.14091,0.14091,1.02635,1.02635,-11.3056,-11.3056,0.61818,0.61818,1.03672,1.03672
6,distributed_singles,distributed_wpe_mwf,2,1.0,7.91545,7.91545,7.89795,7.89795,0.77588,0.77588,1.41466,1.41466,10.8398,10.8398,5.41885,5.41885,0.14343,0.14343,0.91931,0.91931,0.9313,0.9313,2.34597,2.34597,0.14085,0.14085,1.02635,1.02635,-2.96175,-2.96175,0.74266,0.74266,1.06662,1.06662
6,local_array_4ch,local_ds,2,1.0,-0.239,-0.239,-0.35805,-0.35805,0.54266,0.54266,1.07146,1.07146,2.0584,2.0584,1.93215,1.93215,0.15851,0.15851,0.70117,0.70117,0.01683,0.01683,1.08828,1.08828,0.00264,0.00264,,,-7.9223,-7.9223,0.5861,0.5861,1.02548,1.02548
6,local_array_4ch,local_mvdr,2,1.0,-0.239,-0.239,-0.35805,-0.35805,0.54266,0.54266,1.07146,1.07146,17.2282,17.2282,13.75085,13.75085,0.4412,0.4412,0.98386,0.98386,2.20338,2.20338,3.27482,3.27482,0.00454,0.00454,,,-5.29435,-5.29435,0.67427,0.67427,1.0495,1.0495
6,local_array_4ch,local_mwf,2,1.0,-0.239,-0.239,-0.35805,-0.35805,0.54266,0.54266,1.07146,1.07146,25.53495,25.53495,20.8426,20.8426,0.44322,0.44322,0.98587,0.98587,2.5202,2.5202,3.59165,3.59165,0.00482,0.00482,,,-4.9202,-4.9202,0.67947,0.67947,1.05505,1.05505
6,local_array_4ch,local_wpd,2,1.0,-0.239,-0.239,-0.35805,-0.35805,0.54266,0.54266,1.07146,1.07146,11.51005,11.51005,9.7835,9.7835,0.39258,0.39258,0.93524,0.93524,0.55468,0.55468,1.62614,1.62614,0.01672,0.01672,,,-5.29365,-5.29365,0.6744,0.6744,1.04005,1.04005
6,local_array_4ch,local_wpe_mvdr,2,1.0,-0.239,-0.239,-0.35805,-0.35805,0.54266,0.54266,1.07146,1.07146,15.163,15.163,9.4807,9.4807,0.37117,0.37117,0.91383,0.91383,1.26643,1.26643,2.33788,2.33788,0.03934,0.03934,,,-4.3015,-4.3015,0.70481,0.70481,1.055,1.055
